dataset,method,time,model_string,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
Hill_Valley_without_noise,RILS-ROLS-Pseudo-Generic,2.119346857070923,-107.433007 + 13.423287*(x17 + x30 + x44 + x61 + x76 + x8 + x89 + x9)/x0,0.11151027902082895,1.0,1.0,0.12366850033949263,1.0,1.0
Hill_Valley_without_noise,HROCH,1.0108120441436768,x14**2*x72*x96*(x88 + sqrt(x32*x82))/(-x99 + sqrt(x32*x82)),3.000000449531246e-07,1.0,1.0,3.000000449531245e-07,1.0,1.0
Hill_Valley_without_noise,HROCH-Pseudo,1.879547119140625,-561.4313299102365*(2*x0 - 2*x15 + x3 - x75)/x73,0.12759701763138578,0.9944528956369239,0.988998899889989,0.13159613036719034,0.9971693940734188,0.9933993399339934
Hill_Valley_without_noise,HROCH-Pseudo-Generic,1.011986494064331,atan(((((x6+x65)-x0)-(((((0.18633636832237244+x21)/0.7253930568695068)+x1)+x1)-(((0.18633636832237244+x21)/0.7253930568695068)+x1)))*2286977280.0)),0.18886640882195882,1.0,1.0,0.1888664081400011,1.0,1.0
adult,LogisticRegression,8.316554546356201,,0.4200171703403584,0.8120476443783721,0.8043187464169692,0.4151781524023589,0.8178499562672442,0.8115633445254279
adult,RandomForest,3.883500337600708,,0.07947247575157496,0.99999996930279,0.9998908028718845,0.3584913688804995,0.9103498052548192,0.8609450495454918
adult,CatBoost,5.649839639663696,,0.23657382434040705,0.9511839193541235,0.896262728290246,0.2689932307623554,0.9330436168873415,0.8755220702645156
adult,RILS-ROLS,2.1577975749969482,"(((-0.038742*(x4/((0.458161*MIN(0.760613, x7))+0.553279)))+(-0.219544*MIN(1.339669, x10)))+1.330650)",0.5006329713982961,0.7074539984503556,0.8244110179902269,0.49951191125140654,0.7110226421281372,0.8254852182458439
adult,RILS-ROLS-Pseudo-Generic,2.5742592811584473,-6.1e-5*x10 - 0.546535*x4/(sin(0.464785*x7) + 1.153446) + 5.632622,0.40698370328626654,0.8348410881975948,0.819715541481259,0.4009769107273368,0.8410153728804697,0.821881909753501
adult,HROCH,1.0205879211425781,sqrt(x7*(5.503711223602295 - x7)),0.4551799215863819,0.7756721422221551,0.7174524310010647,0.4497689429430915,0.7817891848847147,0.7247563672098927
adult,HROCH-Pseudo,6.389385223388672,(-x4 + 7.014495577938437*x7*(8.014495577938437 - x7) + 11.057973896822151)/(3*x7*(8.014495577938437 - x7) + 2.7587562569740802),0.43101073278159635,0.8087667020142992,0.813928093691136,0.4265115533752186,0.8152557508813484,0.8150847596429449
adult,HROCH-Pseudo-Generic,1.01619291305542,(((((9.946099281311035-x7)*x7)+(9.946099281311035*(((9.946099281311035-x7)*x7)+1.1743297576904297)))-((((9.946099281311035-x7)*x7)+(0.7946245074272156+((9.946099281311035-x7)*x7)))+x4))/((((9.946099281311035-x7)*x7)+(0.7946245074272156+((9.946099281311035-x7)*x7)))+(((9.946099281311035-x7)*x7)+1.1743297576904297))),0.4454374816444754,0.8039058724818741,0.8113892604624499,0.4394984230764821,0.8102945409764379,0.8137744656457293
agaricus_lepiota,LogisticRegression,0.3672335147857666,,0.16946501428148386,0.9809300350686209,0.9497380484610347,0.16000762275723004,0.9832474052553599,0.9484536082474226
agaricus_lepiota,RandomForest,0.3010880947113037,,9.258196407617589e-05,1.0,1.0,0.00021581508461341733,1.0,1.0
agaricus_lepiota,CatBoost,1.7812294960021973,,0.000798546232300483,1.0,1.0,0.0007951441973091237,1.0,1.0
agaricus_lepiota,RILS-ROLS,2.055377960205078,"((-0.917471*(((0.513743*MAX(0, x7))+(-0.372169*MIN(MAX((x6/0.304379), x11), x19)))<-0.372169))+0.951678)",0.5313824835618554,0.9590724556462198,0.9589063523248199,0.5324373371286465,0.9611242251502373,0.960726558664703
agaricus_lepiota,RILS-ROLS-Pseudo-Generic,2.099973678588867,0.507944536026695*x10**2*x7 - 0.684027*x10 + 3.347131*sin(x4) + 0.560188,0.15415151701070978,0.9768079020075484,0.9664374590700721,0.1385386135155928,0.9802841904570574,0.9754540991654393
agaricus_lepiota,HROCH,1.010300636291504,x0*(x7 + 2*sin(x4)) - x10*x19/(x4*sin(x4)) + sin(x4),0.05890841120920906,0.9964826704757427,0.9862475442043221,0.052052355071579126,0.9966547932027638,0.9901816396661758
agaricus_lepiota,HROCH-Pseudo,1.7884199619293213,4.65803424227556*sin(x4*(x4 - 0.05443459249544277) + (x4 - 0.05443459249544277)**2),0.12256930286821821,0.982691249592709,0.9289456450556647,0.10409143657995237,0.9870692569362213,0.9366715758468336
agaricus_lepiota,HROCH-Pseudo-Generic,1.0119738578796387,(sin((((x4+(-0.06279822438955307))*(x4+(-0.06279822438955307)))+((x4+(-0.06279822438955307))*x4)))*3.6224172115325928),0.12951289659544432,0.982691249592709,0.9289456450556647,0.1141620449562172,0.9870692569362213,0.9366715758468336
