dataset,method,time,model_string,random_seed,train_log_loss,train_roc_auc_score,train_accuracy_score,test_log_loss,test_roc_auc_score,test_accuracy_score
clean2,DecisionTree,0.0449616909027099,,41729,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
twonorm,DecisionTree,0.0692098140716552,,66580,0.4923091285897953,0.8353328900645752,0.7677606177606178,0.5467139650478418,0.800697272338954,0.7396396396396396
magic,DecisionTree,0.1524615287780761,,33585,0.3511757349969124,0.8966302771473826,0.8581192729457714,0.4256798849586306,0.8787155215454502,0.8391167192429022
chess,DecisionTree,0.0043427944183349,,33585,0.0351948182613645,0.9991061926366916,0.983907018328118,0.1056765492975067,0.9960783456477068,0.9655891553701772
flare,DecisionTree,0.0008800029754638,,92067,0.39313646442105,0.7712432563496394,0.8297587131367292,0.3874060485607998,0.718182526693165,0.853125
churn,DecisionTree,0.012624979019165,,33585,0.3226123168664148,0.7169832125611403,0.8854285714285715,0.3177433755499752,0.7583909619993153,0.876
GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DecisionTree,0.102149486541748,,92067,0.6530229985421504,0.6258232313084633,0.5857142857142857,0.940712703531728,0.4798613403763618,0.48125
german,DecisionTree,0.0036730766296386,,92067,0.4168417246814938,0.8471915235253887,0.7928571428571428,1.1213110784512497,0.7294449240769895,0.6966666666666667
hypothyroid,DecisionTree,0.0059378147125244,,92067,0.0423647860077928,0.9932803157781676,0.9805781391147244,0.2300704493074464,0.957251720747296,0.9704952581664912
adult,DecisionTree,0.0406103134155273,,57302,0.4135048176932046,0.7850967808598777,0.8048787621749686,0.4127117462997003,0.7866702981200244,0.8044086535180509
adult,DecisionTree,0.2396960258483886,,41729,0.2662017946345877,0.9316329490074192,0.8682324724326538,0.615285560893993,0.8970504056680513,0.853681839896267
ring,DecisionTree,0.1772284507751464,,92067,0.2833236900898585,0.926120608371254,0.8874517374517374,1.0458231511091696,0.8856113242724634,0.8382882882882883
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,DecisionTree,0.0020465850830078,,41729,0.6099688814284762,0.7228545264259549,0.6589285714285714,0.7608467492312693,0.5543951641000627,0.5416666666666666
parity5+5,DecisionTree,0.0013563632965087,,41729,0.675310998444639,0.6046279491833031,0.573791348600509,0.7678610929193889,0.3481945467943994,0.3875739644970414
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM_2_001,DecisionTree,0.0027089118957519,,33585,0.5893740877203254,0.7511491997869076,0.6839285714285714,0.7201109641628053,0.6243410636928269,0.6041666666666666
ring,DecisionTree,0.2630748748779297,,41729,0.1596882625727422,0.9826962366360864,0.926061776061776,1.2874095310018736,0.923006987557472,0.8774774774774775
chess,DecisionTree,0.0081353187561035,,57302,0.03495595298579,0.99909106939613,0.9807778274474744,0.08558935115003,0.9971383680646227,0.9708029197080292
magic,DecisionTree,0.4015645980834961,,92067,0.2238972708226099,0.9614727545843456,0.9007060237344149,1.4197401511957106,0.8803477355652063,0.8405187521906765
flare,DecisionTree,0.0012321472167968,,41729,0.3900961412629565,0.7555620571661176,0.8337801608579088,0.3772121647896312,0.796295025728988,0.828125
agaricus_lepiota,DecisionTree,0.005246877670288,,57302,0.0057932347131224,0.999973071261453,0.9966672513594106,0.0065588743228099,0.9999688104297922,0.9979541734860884
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,DecisionTree,0.0028948783874511,,92067,0.6170941075056752,0.71448185462652,0.6553571428571429,0.7872029266935356,0.4881583291341592,0.5020833333333333
phoneme,DecisionTree,0.0329165458679199,,41729,0.2285823748988278,0.9585343830674388,0.8915917503966155,0.7433000793979139,0.906550871714806,0.845252774352651
clean2,DecisionTree,0.0472378730773925,,33585,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
coil2000,DecisionTree,0.1051485538482666,,33585,0.1453423600161158,0.9101086569018516,0.9425454545454546,1.0102917687319266,0.6394054408520954,0.9358669833729216
agaricus_lepiota,DecisionTree,0.0088872909545898,,41729,2.2204460492503136e-16,1.0,1.0,2.2204460492503136e-16,1.0,1.0
